"Designator","Comment","Footprint","JLCPCBPart#"
"J1, ","EXP","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","C225520"
"J3, ","USB_A","sputterizer:USB_A_Amphenol_UE27AE54100_Vertical","C386737"
"Q1, Q2, Q4, ","2N3906","Package_TO_SOT_THT:TO-92_Inline_Wide","C9809"
"Q3, ","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","C232838"
"R1, R4, ","620","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C120050"
"R2, R5, R7, R8, ","30K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C176499"
"R3, ","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C120055"
"R6, R9, ","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C433778"
