"Designator","Comment","Footprint","JLCPCBPart#"
"J1, ","EXP","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical_SMD","C178296"
"J3, ","USB_A","sputterizer:USB_A_Amphenol_UE27AE54100_Vertical","C386737"
"Q1, Q2, Q4, ","MMBT3906","Package_TO_SOT_SMD:SOT-23","C266589"
"Q3, ","2N7002","Package_TO_SOT_SMD:SOT-23","C8545"
"R1, R4, ","620","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17782"
"R2, R5, R7, R8, ","30K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17621"
"R3, ","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"R6, R9, ","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
